STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1
2|50782|4055RUPLUS|4000293468|2016-02-17|2016-02-17|2016-02-17|3019550943000010|570|Z1AA|Z2|ISS|3019550943000010|3657041321000010|4000293468|US8X|570|4055RUPLUS|US8X|A|0
2|55431|4055RUPLUS|6100109670|2016-02-15|2016-02-15|2016-02-15|3019526526000050|570|Z1AA|Z2|ISS|3019526526000050|3657024766000010|6100109670|USIQ|570|4055RUPLUS|USIQ|A|0
2|55489|4055RUPLUS|6100110258|2016-02-19|2016-02-19|2016-02-19|3019527781000050|570|Z1AA|Z1|CPU|3019527781000050|3657005605000010|6100110258|UT2J|570|4055RUPLUS|UT2J|A|0
2|55607|4055RUPLUS|6100119053|2016-02-17|2016-02-17|2016-02-17|3019166512000010|570|Z1AA|Z2|ISS|3019166512000010|3657041081000010|6100119053|USQ4|570|4055RUPLUS|USQ4|A|0
2|60336|4055RUPLUS|6100373410|2016-02-18|2016-02-18|2016-02-18|3019528480000080|570|Z1AA|Z1|CPU|3019528480000080|3657006091000010|6100373410|US8X|570|4055RUPLUS|US8X|A|0
0|0|4055RUPLUS|6100373410|2016-02-17|2016-02-17|2016-02-17|3019526611000470|570|Z1AA|Z2|ISS|3019526611000470|3657033025000010|6100373410|UT20|570|4055RUPLUS||A|0
2|60358|4055RUPLUS|6100373535|2016-02-16|2016-02-16|2016-02-16|3019499888000010|570|Z1AA|Z2|ISS|3019499888000010|3657030814000010|6100373535|USNH|570|4055RUPLUS|USNH|A|0
2|62778|4055RUPLUS|6100632453|2016-02-19|2016-02-18|2016-02-19|3019472308000006|570|Z1AA|Z2|ISS|3019472308000006|3657031780000010|6100632453|UT3C|570|4055RUPLUS|UT3C|A|0
2|62820|4055RUPLUS|6100634399|2016-02-16|2016-02-16|2016-02-16|3019515698000003|570|Z1AA|Z2|ISS|3019515698000003|3657035273000010|6100634399|USVI|570|4055RUPLUS|USVI|A|0
2|57651|4055RUPLUS|6100219855|2016-02-20|2016-02-20|2016-02-20|3019528069000080|570|Z1AA|Z1|CPU|3019528069000080|3657005845000010|6100219855|UT43|570|4055RUPLUS|UT43|A|0
2|57852|4055RUPLUS|6100226712|2016-02-15|2016-02-15|2016-02-15|3019525931000090|570|Z1AA|Z2|ISS|3019525931000090|3657016963000010|6100226712|USI7|570|4055RUPLUS|USI7|A|0
2|70977|4055RUPLUSPS|6100226874|2016-02-15|2016-02-15|2016-02-15|3019524954000001|570|Z1AA|Z2|ISS|3019524954000001|3657017866000010|6100226874|USA3|570|4055RUPLUSPS|USA3|A|0
0|0|4055RUPLUS|4000306866|2016-02-15|2016-02-14|2016-02-15|3019549437000024|570|Z1AA|Z2|ISS|3019549437000024|3657032735000010|4000306866|UT11|570|4055RUPLUS||A|0
2|53826|4055RUPLUS|4000307040|2016-02-15|2016-02-15|2016-02-15|3019528444000020|570|Z1AA|Z2|ISS|3019528444000020|3657029449000010|4000307040|UT02|570|4055RUPLUS|UT02|A|0
0|0|4055RUPLUS|4000307178|2016-02-17|2016-02-17|2016-02-17|3019350817000003|570|Z1AA|Z2|ISS|3019350817000003|3657019518000010|4000307178|USPF|570|4055RUPLUS||A|0
3|-488|4055RUPLUS|4000308254|2016-02-15|2016-02-14|2016-02-15|3019541598000010|570|Z1AA|Z2|ISS|3019541598000010|3657032745000010|4000308254|USA7|570|4055RUPLUS|USA7|A|0
0|0|4055RUPLUS|4000308255|2016-02-15|2016-02-14|2016-02-15|3019540175000010|570|Z1AA|Z2|ISS|3019540175000010|3657030782000010|4000308255|UT3L|570|4055RUPLUS||A|0
2|54124|4055RUPLUS|4000308257|2016-02-24|2016-02-23|2016-02-24|3019462065000037|570|Z1AA|Z2|ISS|3019462065000037|3656922817000010|4000308257|USXK|570|4055RUPLUS|USXK|A|0
2|54113|4055RUPLUS|4000308257|2016-02-17|2016-02-16|2016-02-17|3019462065000026|570|Z1AA|Z2|ISS|3019462065000026|3656922837000010|4000308257|USIR|570|4055RUPLUS|USIR|A|0
2|54312|4055RUPLUS|4000308601|2016-02-15|2016-02-15|2016-02-15|3019533034000013|570|Z1AA|Z2|ISS|3019533034000013|3657043867000010|4000308601|UT35|570|4055RUPLUS|UT35|A|0
2|59386|4055RUPLUS|6100325696|2016-02-16|2016-02-16|2016-02-16|3019526482000030|570|Z1AA|Z2|ISS|3019526482000030|3657042186000010|6100325696|USWA|570|4055RUPLUS|USWA|A|0
2|59445|4055RUPLUS|6100325874|2016-02-15|2016-02-15|2016-02-15|3019526843000100|570|Z1AA|Z2|ISS|3019526843000100|3657024491000010|6100325874|USK5|570|4055RUPLUS|USK5|A|0
2|59479|4055RUPLUS|6100325972|2016-02-19|2016-02-19|2016-02-19|3019526743000050|570|Z1AA|Z2|ISS|3019526743000050|3657033107000010|6100325972|USPA|570|4055RUPLUS|USPA|A|0
2|61253|4055RUPLUS|6100457115|2016-02-16|2016-02-16|2016-02-16|3019527789000630|570|Z1AA|Z2|ISS|3019527789000630|3657018283000010|6100457115|USWT|570|4055RUPLUS|USWT|A|0
2|61254|4055RUPLUS|6100457115|2016-02-17|2016-02-17|2016-02-17|3019527789000520|570|Z1AA|Z2|ISS|3019527789000520|3657018286000010|6100457115|USWT|570|4055RUPLUS|USWT|A|0
2|61255|4055RUPLUS|6100457115|2016-02-18|2016-02-18|2016-02-18|3019527789000730|570|Z1AA|Z2|ISS|3019527789000730|3657018297000010|6100457115|USWT|570|4055RUPLUS|USWT|A|0
2|61256|4055RUPLUS|6100457115|2016-02-19|2016-02-19|2016-02-19|3019527789000540|570|Z1AA|Z2|ISS|3019527789000540|3657018299000010|6100457115|USWT|570|4055RUPLUS|USWT|A|0
2|61256|4055RUPLUS|6100457115|2016-02-19|2016-02-19|2016-02-19|3019527789000740|570|Z1AA|Z2|ISS|3019527789000740|3657018305000010|6100457115|USWT|570|4055RUPLUS|USWT|A|0
2|61266|4055RUPLUS|6100457561|2016-02-16|2016-02-16|2016-02-16|3019527803000160|570|Z1AA|Z2|ISS|3019527803000160|3657028055000010|6100457561|USIK|570|4055RUPLUS|USIK|A|0
