STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST
0|3019556612000001||4055RUCUST|US9X|ORLANDO|FL|4000180652|FULLERTON|CA|32819|92833|328|928|2016-03-04||2016-03-04||570| |2016-02-24|570|Z1AA|Z2|32819|92833|100|||100
0|3019570228000020|3657072730000010|4055RUCUST|UT73|EAST SYRACUSE|NY|4000198318|JOHNSTOWN|NY|13057|12095|130|120|2016-02-23|2016-02-23|2016-02-23|2016-02-23|570| |2016-02-24|570|Z1AA|Z2|13057|12095|100|||100
0|3019570228000030|3657072732000010|4055RUCUST|UT73|EAST SYRACUSE|NY|4000198318|JOHNSTOWN|NY|13057|12095|130|120|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570| |2016-02-24|570|Z1AA|Z2|13057|12095|100|||100
0|3019570228000040|3657072733000010|4055RUCUST|UT73|EAST SYRACUSE|NY|4000198318|JOHNSTOWN|NY|13057|12095|130|120|2016-02-25|2016-02-25|2016-02-25|2016-02-25|570| |2016-02-24|570|Z1AA|Z2|13057|12095|100|||100
0|3019570228000050|3657072734000010|4055RUCUST|UT73|EAST SYRACUSE|NY|4000198318|JOHNSTOWN|NY|13057|12095|130|120|2016-02-26|2016-02-26|2016-02-26|2016-02-26|570| |2016-02-24|570|Z1AA|Z2|13057|12095|100|||100
0|3019570228000060|3657072735000010|4055RUCUST|UT73|EAST SYRACUSE|NY|4000198318|JOHNSTOWN|NY|13057|12095|130|120|2016-02-27|2016-02-27|2016-02-27|2016-02-27|570| |2016-02-24|570|Z1AA|Z2|13057|12095|100|||100
0|3019584465000010|3657106031000010|4055RUCUST|UT44|SAINT LOUIS|MO|4000222804|SAINT LOUIS|MO|63114|63114|631|631|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570| |2016-02-24|570|Z1AA|Z2|63114|63114|100|||100
0|3019574863000010||4055RUCUST|US9X|ORLANDO|FL|4000230398|INDIANAPOLIS|IN|32819|46254|328|462|2016-02-25||2016-02-25||570| |2016-02-24|570|Z1AA|Z2|32819|46254|100|||100
10|3019527546000250|3657005533000010|4055RUCUST|USIV|CEDAR RAPIDS|IA|6100101712|IOWA CITY|IA|52404|52240|524|522|2016-02-19|2016-02-19|2016-02-19|2016-02-19|570| |2016-02-24|570|Z1AA|Z1|52404|52240|100|||100
10|3019527546000230|3657005519000010|4055RUCUST|USIV|CEDAR RAPIDS|IA|6100101712|IOWA CITY|IA|52404|52240|524|522|2016-02-19|2016-02-19|2016-02-19|2016-02-19|570| |2016-02-24|570|Z1AA|Z1|52404|52240|100|||100
