STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST|P1|FIRMSW
1|3019614633000080||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-03|2016-03-03|2016-03-03|2016-03-03|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|1
1|3019614633000090||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-04|2016-03-04|2016-03-04|2016-03-04|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|1
1|3019614633000100||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-04|2016-03-04|2016-03-04|2016-03-04|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|1
1|3019658976000010||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-07|2016-03-07|2016-03-07|2016-03-07|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|0
4|3019658976000020||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-07|2016-03-07|2016-03-07|2016-03-07|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|0
1|3019658976000040||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-08|2016-03-08|2016-03-08|2016-03-08|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|0
1|3019658976000030||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-08|2016-03-08|2016-03-08|2016-03-08|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|0
1|3019658976000050||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-09|2016-03-09|2016-03-09|2016-03-09|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|0
1|3019658976000060||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-09|2016-03-09|2016-03-09|2016-03-09|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|0
1|3019658976000080||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-10|2016-03-10|2016-03-10|2016-03-10|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|0
